candidate,f1,feature_width,head,pr_auc,real_minus_ar_pr_auc,real_minus_random_pr_auc,real_minus_shuffled_pr_auc,real_minus_timestamp_pr_auc,real_minus_video_time_pr_auc,scope,split,target,threshold
cortical_pca64_delta,0.4340425531914894,384,ridge_score,0.40949088311928367,0.037748073563903695,0.06809942773871136,0.06640652323056967,0.16776428820377992,0.17423215184815366,all_videos,grouped_0,arousal__future_spike_1_3s,0.05
pca_sequence_128_causal_past_2s_mean_std_last_slope,0.42322446131823305,,ridge_score,0.4093833776545483,-0.048165657546300325,-0.0013314877621088406,-0.010872512656706457,0.10454483139784836,0.0947956419004976,all_videos,grouped_video_mean,arousal__future_change_p3s_movement,0.05
pca_sequence_128_causal_past_2s_mean,0.42893187552565176,128,ridge_score,0.40834149091824323,-0.012472270882009973,0.010165411682525494,-0.001640528197595359,0.08709203341604788,0.07739853899067395,all_videos,grouped_1,arousal__future_change_p3s_movement,0.05
pca_delta_256,0.401673640167364,1536,ridge_score,0.4082636557970003,0.027032801961344555,0.08465089365694062,0.06873842516604778,0.18724377852374702,0.20606071305699775,all_videos,grouped_2,arousal__future_spike_1_3s,0.05
pca_current_128,0.4546883184913567,128,ridge_score,0.4071871968657442,0.005430495884975017,0.014643065000066458,0.01265786753029885,0.13341521068370255,0.06530695662100394,all_videos,official,arousal__future_change_p3s_movement,0.05
pca_current_256,0.4437086092715232,256,ridge_score,0.40669199533353,0.03445063533661663,0.07093927988751975,0.059760972025500514,0.14113291509027004,0.1377998218169812,all_videos,grouped_0,arousal__future_spike_1_3s,0.05
pca_delta_256,0.4321389793702497,1536,ridge_score,0.40627356381378077,-0.07316259183081952,0.037402312518022396,-0.019431546933491195,0.08046508676113984,0.054363146522627304,all_videos,grouped_0,arousal__future_change_p3s_movement,0.05
pca_sequence_128_causal_past_2s_mean,0.425595238095238,128,ridge_score,0.4062120139140414,-0.006053651348015721,-0.0032122823971850734,0.011341521701671131,0.25471462047440263,0.2500072183820215,all_videos,grouped_4,arousal__future_spike_1_3s,0.05
pca_sequence_128_causal_past_2s_mean_std_last_slope,0.39592265504411517,,ridge_score,0.4061088607642004,-0.005986693491677908,0.043806366174175104,0.025738507287249003,0.21605889435324038,0.217247096391745,all_videos,grouped_video_mean,arousal__future_spike_1_3s,0.05
pca_delta_128,0.40832249674902465,768,ridge_score,0.40600635084283254,0.024775497007176794,0.06029950533573025,0.047136290413500315,0.18498647356957926,0.20380340810282999,all_videos,grouped_2,arousal__future_spike_1_3s,0.05
topk_vertices_512,0.39433293978748524,512,ridge_score,0.4057925767275169,0.02204523998533614,0.05515839906525205,0.021001508180826634,0.18467110361625716,0.20858527071004246,all_videos,grouped_2,arousal__future_spike_1_3s,0.05
cortical_pca64_delta,0.413961038961039,384,ridge_score,0.40565565622049005,-0.028743446948283846,0.019400082250710327,0.015050553526386012,0.059294224333861,0.05174083712145705,all_videos,grouped_1,arousal__future_change_p3s_movement,0.05
pca_current_128,0.416267942583732,128,ridge_score,0.4056358976889122,0.0019110202774247353,0.01287239128965878,0.02554864957595615,0.20563002736341082,0.21153847893678784,all_videos,grouped_1,arousal__future_spike_1_3s,0.05
pca_sequence_128_causal_past_2s_mean_std_last_slope,0.3516483516483517,512,ridge_score,0.40426083928188383,-0.008004825980173269,0.03350837575053883,0.04339566383699334,0.25156184144621785,0.24805604374986395,all_videos,grouped_4,arousal__future_spike_1_3s,0.05
pca_sequence_256_causal_past_2s_mean,0.41158032813911066,,ridge_score,0.4039042353872457,-0.008409287659307851,0.01568937125664387,0.030930057460907056,0.2135014901646552,0.21501338671346262,all_videos,grouped_video_mean,arousal__future_spike_1_3s,0.05
roi_parcel_features,0.42804318553815346,,ridge_score,0.4038739903953843,0.029637883663678123,0.03520436608984702,0.03154279443105098,0.19717730166921352,0.2035680306917355,all_videos,grouped_video_mean,arousal__future_spike_1_3s,0.05
pca_current_256,0.39805825242718446,256,ridge_score,0.4037181569000653,0.015704142250705155,0.03512945212126595,0.04568609827577519,0.18454780106161353,0.1883506720020809,all_videos,grouped_2,arousal__future_spike_1_3s,0.05
topk_vertices_512,0.4218462480072125,,ridge_score,0.4027393903909354,0.029254391934224744,0.07527277744097449,0.0344056267222547,0.19481321513749478,0.20518133610508213,all_videos,grouped_video_mean,arousal__future_spike_1_3s,0.05
cortical_pca64_delta,0.41145833333333337,384,ridge_score,0.4010629396617257,0.01913998783029125,0.04065832549936943,0.027555381127622125,0.17881933549445292,0.197709524947687,all_videos,grouped_2,arousal__future_spike_1_3s,0.05
raw_current_ridge,0.4259927797833935,20484,ridge_score,0.40098158907716364,-0.007208463092586381,0.19619018904110141,0.031232084163102636,0.1995224718921185,0.21144653296899985,all_videos,grouped_1,arousal__future_spike_1_3s,0.05
cortical_pca64_delta,0.4384787472035795,384,ridge_score,0.4007005376889457,-0.012329226683180483,0.02746654004967858,0.019021828580365163,0.19924142050390056,0.19649655624470877,all_videos,grouped_1,arousal__future_spike_1_3s,0.05
pca_delta_128,0.42938931297709926,768,ridge_score,0.40047066273885645,-0.06893599936814587,0.015049894581272039,-0.0033721208473692643,0.07684741307421233,0.0618761893333602,all_videos,grouped_4,arousal__future_change_p3s_movement,0.05
cortical_pca_64,0.41516726657699665,,ridge_score,0.399965754770512,0.024642976434493015,0.03268417712485035,0.03693380942404244,0.19651304018983684,0.20077638321438718,all_videos,grouped_video_mean,arousal__future_spike_1_3s,0.05
raw_current_ridge,0.4325153374233129,20484,ridge_score,0.3992113340803555,-0.03560939724147444,0.12336618028760343,-0.01299102369609173,0.05284990219372643,0.06717400694235248,all_videos,grouped_1,arousal__future_change_p3s_movement,0.05
pca_sequence_256_causal_past_2s_mean,0.38848920863309355,256,ridge_score,0.39864631523288147,-0.021042199460301447,-0.00635142946794881,0.010475427976996021,0.09442664870460127,0.05565924237155079,all_videos,official,arousal__future_change_p3s_movement,0.05
